,0
639,5486
640,5487
641,5488
642,5489
643,5490
644,5491
645,5492
646,5493
647,5494
648,5495
649,5496
650,5497
651,5498
652,5499
653,5500
654,5501
655,5502
656,5503
657,5504
658,5505
659,5506
660,5507
661,5508
662,5509
663,5510
664,5511
665,5512
666,5513
667,5514
668,5515
669,5516
670,5517
671,5518
672,5519
673,5520
674,5521
675,5522
676,5676
677,5677
678,5678
679,5679
680,5680
681,5681
682,5682
683,5683
684,5684
685,5685
686,5686
687,5687
688,5688
689,5689
690,5690
691,5691
692,5692
693,5693
694,5694
695,5695
696,5696
697,5697
698,5698
699,5699
700,5700
701,5701
702,5702
703,5703
704,5704
705,5705
706,5706
707,5707
708,5708
709,5709
710,5710
711,5711
712,5712
713,5713
714,6212
715,6213
716,6214
717,6215
718,6216
719,6217
720,6218
721,6219
722,6220
723,6221
724,6222
725,6223
726,6224
727,6225
728,6226
729,6227
730,6228
731,6229
732,6230
733,6231
734,6232
735,6233
736,6234
737,6235
738,6236
739,6237
740,6238
741,6239
742,6240
743,6241
744,6242
745,6243
746,6244
747,6245
748,6246
749,6247
750,6248
751,6249
752,6250
753,6251
754,6252
755,6253
756,6254
757,6255
758,6256
759,6257
760,6258
761,6259
762,6260
763,6261
764,6262
765,6263
766,6264
767,6265
768,6266
769,6267
770,6268
771,6269
772,6270
773,6271
774,6272
775,6273
776,6274
777,6275
778,6276
779,6277
780,6278
781,6279
782,6280
783,6281
784,6340
785,6341
786,6342
787,6343
788,6344
789,6345
790,6346
791,6347
792,6348
793,6349
794,6350
795,6351
796,6352
797,6353
798,6354
799,6355
800,6356
801,6357
802,6358
803,6359
804,6360
805,6361
806,6362
807,6363
808,6364
809,6365
810,6366
811,6367
812,6368
813,6369
814,6370
815,6371
816,6372
817,6373
818,6374
819,6375
820,6376
821,6377
822,6378
823,6379
824,6380
825,6381
826,6382
827,6383
828,6384
829,6385
830,6386
831,6387
832,6388
833,6389
834,6390
835,6391
836,6392
837,6393
838,6394
839,6395
840,6396
841,6397
842,6398
843,6399
844,6400
845,6401
846,6402
847,6403
848,6404
849,6405
850,6406
851,6568
852,6569
853,6570
854,6571
855,6572
856,6573
857,6574
858,6575
859,6576
860,6577
861,6578
862,6579
863,6580
864,6581
865,6582
866,6583
867,6584
868,6585
869,6586
870,6587
871,6588
872,6589
873,6590
874,6800
875,6801
876,6802
877,6803
878,6804
879,6805
880,6806
881,6807
882,6808
883,6809
884,6810
885,6811
886,6812
887,6813
888,6814
889,6815
890,6816
891,6817
892,6818
893,6819
894,6820
895,6821
896,6822
897,6823
898,6824
899,6825
900,6826
901,6827
902,6828
903,6829
904,6830
905,6831
906,6832
907,6833
908,6834
909,6835
910,6836
911,6837
912,6838
913,6839
914,6840
915,6841
916,6842
917,6843
918,6844
919,6845
920,6956
921,6957
922,6958
923,6959
924,6960
925,6961
926,6962
927,6963
928,6964
929,6965
930,6966
931,6967
932,6968
933,6969
934,6970
935,6971
936,6972
937,6973
938,6974
939,6975
940,6976
941,6977
942,6978
943,6979
944,6980
945,6981
946,6982
947,6983
948,6984
949,6985
950,6986
951,6987
952,6988
953,6989
954,6990
955,6991
956,6992
957,6993
958,6994
959,6995
960,6996
961,6997
962,6998
963,6999
964,7000
965,7001
966,7002
967,7003
968,7004
969,7005
970,7006
971,7007
972,7008
973,7009
974,7010
975,7011
976,7012
977,7013
978,7014
979,7015
980,7016
981,7017
982,7018
983,7019
984,7390
985,7391
986,7392
987,7393
988,7394
989,7395
990,7396
991,7397
992,7398
993,7399
994,7400
995,7401
996,7402
997,7403
998,7404
999,7405
1000,7406
1001,7407
1002,7408
1003,7409
1004,7410
1005,7411
1006,7412
1007,7413
1008,7414
1009,7415
1010,7416
1011,7417
1012,7418
1013,7419
1014,7420
1015,7421
1016,7422
1017,7423
1018,7424
1019,7425
1020,7426
1021,7427
1022,7428
1023,7429
1024,7430
1025,7431
1026,7432
1027,7433
1028,7434
1029,7435
1030,7436
1031,7437
1032,7438
1033,7439
1034,7440
1035,7441
