,0
0,1337
1,1338
2,1339
3,1340
4,1341
5,1342
6,1343
7,1344
8,1345
9,1346
10,1347
11,1348
12,1349
13,1350
14,1351
15,1352
16,1353
17,1354
18,1355
19,1356
20,1357
21,1358
22,1359
23,1360
24,1361
25,1362
26,1363
27,1364
28,1365
29,1366
30,1367
31,1368
32,1369
33,1370
34,1371
35,1372
36,1373
37,1374
38,1375
39,1376
40,1377
41,1378
42,1379
43,1380
44,1381
45,1382
46,1383
47,1384
48,1385
49,1386
50,1387
51,1388
52,1389
53,1390
54,1391
55,1392
56,1393
57,1394
58,1395
59,1396
60,1397
61,1398
62,1399
63,1400
64,1401
65,1402
66,1403
67,1404
68,1405
69,1406
70,1407
71,1408
72,1409
73,1410
74,1411
75,1412
76,1413
77,1414
78,1415
79,1416
80,1417
81,1418
82,1419
83,1420
84,1421
85,1422
86,1423
87,1424
88,1425
89,1426
90,1427
91,1428
92,1429
93,1430
94,1431
95,1432
96,1433
97,1434
98,1435
99,1436
100,1437
101,1438
102,1439
103,1440
104,1441
105,1442
106,1443
107,1444
108,1445
109,1446
110,1447
111,1448
112,1449
113,1450
114,1451
115,1452
116,1453
117,1454
118,1455
119,1456
120,1457
121,1458
122,1459
123,1460
124,1461
125,1462
126,1463
127,1464
128,1465
129,1466
130,1467
131,1468
132,1469
133,1470
134,1471
135,1472
136,1473
137,1474
138,1475
139,1476
140,1477
141,1478
142,1479
143,1480
144,1481
145,1482
146,1483
147,1484
148,1485
149,1486
150,1487
151,1488
152,1489
153,1490
154,1491
155,1492
156,1493
157,1494
158,1495
159,1496
160,1497
161,1498
162,1499
163,1500
164,1501
165,1502
166,1503
167,1504
168,1505
169,1506
170,1507
171,1508
172,1509
173,1510
174,1511
175,1512
176,1513
177,1514
178,1515
179,1516
180,1517
181,1518
182,2051
183,2052
184,2053
185,2054
186,2055
187,2056
188,2057
189,2058
190,2059
191,2060
192,2061
193,2062
194,2063
195,2064
196,2065
197,2066
198,2067
199,2068
200,2069
201,2070
202,2071
203,2072
204,2073
205,2074
206,2075
207,2076
208,2077
209,2078
210,2079
211,2080
212,2081
213,2082
214,2083
215,2084
216,2085
217,2086
218,2087
219,2088
220,2089
221,2090
222,2091
223,2092
224,2093
225,2094
226,2095
227,2096
228,2097
229,2098
230,2099
231,2100
232,2101
233,2102
234,2103
235,2104
236,2105
237,2106
238,2107
239,2108
240,2109
241,2110
242,2111
243,2112
244,2113
245,2114
246,2115
247,2116
248,2117
249,2118
250,2119
251,2120
252,2121
253,2122
254,2123
255,2124
256,2125
257,2126
258,2127
259,2128
260,2129
261,2130
262,2131
263,2132
264,2133
265,2134
266,2135
267,2136
268,2137
269,2138
270,2139
271,2140
272,2141
273,2142
274,2143
275,2144
276,2145
277,2146
278,2147
279,2148
280,2149
281,2150
282,2151
283,2152
284,2153
285,2154
286,2155
287,2156
288,2157
289,2158
290,2159
291,2160
292,2161
293,2162
294,2163
295,2164
296,2165
297,2166
298,2167
299,2168
300,2169
301,2170
302,2171
303,2172
304,2173
305,2174
306,2175
307,2176
308,2177
309,2178
310,2179
311,2180
312,2181
313,2182
314,2183
315,2184
316,2185
317,2186
318,2187
319,2188
320,2189
321,2190
322,2191
323,2192
324,2193
325,2194
326,2195
327,2196
328,2197
329,2198
330,2199
331,2200
332,2201
333,2202
334,2203
335,2204
336,2205
337,2206
338,2207
339,2208
340,2209
341,2210
342,2211
343,2212
344,2213
345,2214
346,2215
347,2216
348,2217
349,2218
350,2219
351,2220
352,2221
353,2222
354,2223
355,2224
356,2225
357,2226
358,2227
359,2228
360,2229
361,2230
362,2231
363,2232
364,2233
365,2234
366,2235
367,2236
368,2237
369,2238
370,2239
371,2240
372,2241
373,2242
374,2243
375,2244
376,2245
377,2246
378,2247
379,2248
380,2249
381,2250
382,2251
383,2252
384,2253
385,2254
386,2255
387,2256
388,2257
389,2258
390,2259
391,2260
392,2261
393,2262
394,2263
395,2264
396,2265
397,2266
398,2744
399,2745
400,2746
401,2747
402,2748
403,2749
404,2750
405,2751
406,2752
407,2753
408,2754
409,2755
410,2756
411,2757
412,2758
413,2759
414,2760
415,2761
416,2762
417,2763
418,2764
419,2765
420,2766
421,2767
422,2768
423,2769
424,2770
425,2771
426,2772
427,2773
428,2774
429,2775
430,2776
431,2777
432,2778
433,2779
434,2780
435,2781
436,2782
437,2783
438,2784
439,2785
440,2786
441,2787
442,2788
443,2789
444,2790
445,2791
446,2792
447,2793
448,2794
449,2795
450,2796
451,2797
452,2798
453,2799
454,2800
455,2801
456,2802
457,2803
458,2804
459,2805
460,2806
461,2807
462,2808
463,2809
464,2810
465,2811
466,2812
467,2813
468,2814
469,2815
470,2816
471,2817
472,2818
473,2819
474,2820
475,2821
476,2822
477,2823
478,2824
479,2825
480,2826
481,2827
482,2828
483,2829
484,2830
485,2831
486,3338
487,3339
488,3340
489,3341
490,3342
491,3343
492,3344
493,3345
494,3346
495,3347
496,3348
497,3349
498,3350
499,3351
500,3352
501,3353
502,3354
503,3355
504,3356
505,3357
506,3358
507,3359
508,3360
509,3361
510,3362
511,3363
512,3364
513,3365
514,3366
515,3367
516,3368
517,3369
518,3370
519,3371
520,3372
521,3373
522,3374
523,3375
524,3376
525,3377
526,3378
527,3379
528,3380
529,3381
530,3382
531,3383
532,3384
533,3385
534,3386
535,3387
536,3388
537,3389
538,3390
539,3391
540,3392
541,3393
542,3394
543,3395
544,3396
545,3397
546,3398
547,3399
548,3400
549,3401
550,3402
551,3403
552,3404
553,3405
554,3406
555,3407
556,3408
557,3409
558,3410
559,3411
560,3412
561,3413
562,3414
563,3415
564,3416
565,3417
566,3418
567,3419
568,3420
569,3421
570,3422
571,3423
572,3424
573,3425
574,3426
575,3427
576,3428
577,3429
578,3430
579,3431
580,3432
581,3433
582,3434
583,3435
584,3436
585,3437
586,3438
587,3439
588,3440
589,3441
590,3442
591,3443
592,3444
593,3445
594,3446
595,3447
596,3448
597,3449
598,3450
599,3451
600,3452
601,3453
602,3454
603,3455
604,3456
605,3457
606,3458
607,3459
608,3460
609,3461
610,3462
611,3463
612,3464
613,3465
614,3466
615,3467
616,3468
617,3469
618,3470
619,3471
620,3472
621,3473
622,3474
623,3475
624,3476
625,3477
626,3478
627,3479
628,3480
629,3481
630,3482
631,3483
632,3484
633,3485
634,3486
635,3487
636,3488
637,3489
638,3490
639,3491
640,3492
641,3493
642,3494
643,3495
644,3496
645,3497
646,3498
647,3499
648,3500
649,3501
650,3502
651,3503
652,3504
653,3505
654,3506
655,3507
656,3508
657,3509
658,3510
659,3511
660,3512
661,3513
662,3514
663,3515
664,3516
665,3517
666,3518
667,3519
668,3520
669,3521
670,3522
671,3523
672,3524
673,3525
674,3526
675,3527
676,3528
677,3529
678,3530
679,3531
680,3532
681,4058
682,4059
683,4060
684,4061
685,4062
